Date,Open,High,Low,Close,Adj Close,Volume
3/4/2021,3520,3520,3270,3320,3318.414551,8491500
3/5/2021,3420,3420,3170,3260,3258.443115,3394100
3/8/2021,3260,3320,3250,3250,3248.447998,3643200
3/9/2021,3300,3300,3050,3080,3078.529053,4535100
3/10/2021,3080,3210,3070,3090,3088.524414,4924800
3/12/2021,3150,3250,3080,3230,3228.45752,5222000
3/15/2021,3230,3270,3180,3200,3198.471924,2320300
3/16/2021,3160,3220,3110,3110,3108.514893,3195700
3/17/2021,3120,3170,3070,3100,3098.519531,3105800
3/18/2021,3110,3140,3060,3080,3078.529053,2556900
3/19/2021,3080,3110,3060,3090,3088.524414,2122400
3/22/2021,3090,3110,3020,3040,3038.54834,2731700
3/23/2021,3050,3060,2970,2970,2968.581787,4016100
3/24/2021,2970,2970,2820,2820,2818.65332,5350900
3/25/2021,2820,2910,2740,2760,2758.681885,4108700
3/26/2021,2800,2900,2720,2890,2888.619873,3847500
3/29/2021,2900,2910,2780,2790,2788.667725,2338900
3/30/2021,2790,2790,2700,2710,2708.705811,2252600
3/31/2021,2700,2710,2530,2560,2558.777344,4835100
4/1/2021,2550,2630,2500,2630,2628.744141,3132100
4/5/2021,2670,2740,2530,2610,2608.753662,3876600
4/6/2021,2620,2620,2530,2570,2568.772705,1630100
4/7/2021,2570,2590,2480,2520,2518.796631,2295300
4/8/2021,2530,2600,2500,2560,2558.777344,3280900
4/9/2021,2560,2770,2560,2670,2668.724854,7004600
4/12/2021,2680,2700,2510,2540,2538.787109,3311600
4/13/2021,2550,2560,2450,2490,2488.810791,2116100
4/14/2021,2500,2550,2500,2520,2518.796631,1489400
4/15/2021,2520,2540,2500,2510,2508.80127,955700
4/16/2021,2510,2560,2480,2510,2508.80127,1214300
4/19/2021,2530,2710,2490,2700,2698.710693,6302500
4/20/2021,2700,3070,2650,3000,2998.567383,29647500
4/21/2021,2950,3040,2870,3000,2998.567383,12104300
4/22/2021,2990,3030,2880,2890,2888.619873,3458900
4/23/2021,2890,2890,2740,2760,2758.681885,3928600
4/26/2021,2760,2830,2590,2610,2608.753662,4777700
4/27/2021,2610,2700,2590,2640,2638.739258,2453100
4/28/2021,2650,2710,2650,2660,2658.729736,1567200
4/29/2021,2660,2720,2650,2660,2658.729736,1812300
4/30/2021,2660,2950,2650,2800,2798.662842,11722700
5/3/2021,2800,2820,2720,2730,2728.696289,2286000
5/4/2021,2730,2770,2710,2720,2718.701172,1047900
5/5/2021,2720,2750,2670,2680,2678.720215,1711200
5/6/2021,2700,2730,2650,2660,2658.729736,1075800
5/7/2021,2660,2720,2650,2670,2670,2139500
5/10/2021,2680,2710,2660,2660,2660,1023000
5/11/2021,2670,2680,2610,2640,2640,1183700
5/17/2021,2640,2680,2570,2580,2580,2992600
5/18/2021,2610,2630,2550,2610,2610,1676300
5/19/2021,2610,2630,2550,2550,2550,1000800
5/20/2021,2610,2610,2520,2530,2530,970100
5/21/2021,2560,2560,2420,2420,2420,2103100
5/24/2021,2420,2460,2370,2370,2370,1209900
5/25/2021,2370,2440,2370,2420,2420,856200
5/27/2021,2430,2470,2410,2420,2420,1053900
5/28/2021,2420,2450,2400,2430,2430,676500
5/31/2021,2430,2700,2430,2600,2600,5814000
6/2/2021,2630,2700,2570,2600,2600,2616000
6/3/2021,2630,2630,2580,2600,2600,1038100
6/4/2021,2600,2650,2570,2590,2590,2102400
6/7/2021,2620,2620,2500,2500,2500,3254200
6/8/2021,2500,2500,2400,2420,2420,2533100
6/9/2021,2420,2450,2400,2440,2440,817600
6/10/2021,2440,2450,2420,2440,2440,1041500
6/11/2021,2450,2510,2440,2440,2440,1182500
6/14/2021,2470,2620,2440,2570,2570,4856900
6/15/2021,2590,2620,2460,2520,2520,3965600
6/16/2021,2520,2530,2450,2470,2470,1345700
6/17/2021,2470,2470,2420,2430,2430,931800
6/18/2021,2400,2470,2310,2330,2330,2023200
6/21/2021,2350,2910,2190,2910,2910,33662900
6/22/2021,3050,3490,2960,3040,3040,76145700
6/23/2021,3070,3180,2830,2830,2830,17582300
6/24/2021,2800,2850,2640,2690,2690,9608000
6/25/2021,2700,3050,2700,2800,2800,21560000
6/28/2021,2820,3280,2810,3250,3250,38482400
6/29/2021,3310,3420,3100,3240,3240,38669700
6/30/2021,3240,3270,3120,3140,3140,7709900
7/1/2021,3190,3410,3150,3370,3370,42866300
7/2/2021,3420,3450,3250,3270,3270,17268100
7/5/2021,3280,3380,3250,3340,3340,10824700
7/6/2021,3350,3380,3180,3200,3200,10852300
7/7/2021,3240,3310,3150,3200,3200,7408200
7/8/2021,3250,3280,3170,3190,3190,5323100
7/9/2021,3180,3260,3120,3150,3150,5806100
7/12/2021,3230,3670,3200,3540,3540,59012700
7/13/2021,3500,3570,3300,3300,3300,25623600
7/14/2021,3310,3570,3260,3500,3500,39846800
7/15/2021,3550,3610,3420,3430,3430,28974400
7/16/2021,3450,3500,3390,3410,3410,7825900
7/19/2021,3420,3420,3180,3180,3180,18112800
7/21/2021,3180,3180,2990,3010,3010,11253100
7/22/2021,3020,3060,3000,3010,3010,3875900
7/23/2021,3000,3100,2930,3000,3000,7484900
7/26/2021,3020,3060,2930,2940,2940,4331900
7/27/2021,2940,2970,2900,2900,2900,4842900
7/28/2021,2910,2980,2800,2850,2850,8484000
7/29/2021,2860,2890,2740,2740,2740,9785700
7/30/2021,2800,2800,2660,2660,2660,4632800
8/2/2021,2680,2740,2660,2690,2690,2631800
8/3/2021,2720,2770,2650,2670,2670,5524300
8/4/2021,2670,2690,2630,2640,2640,3234100
8/5/2021,2650,2710,2540,2550,2550,7629700
8/6/2021,2550,2580,2520,2560,2560,2763400
8/9/2021,2560,2570,2410,2410,2410,5835100
8/10/2021,2420,2550,2410,2480,2480,4297900
8/12/2021,2480,2500,2420,2420,2420,2123000
8/13/2021,2430,2450,2410,2440,2440,2272200
8/16/2021,2430,2460,2350,2350,2350,2727900
8/18/2021,2350,2430,2350,2370,2370,2853600
8/19/2021,2370,2420,2300,2320,2320,2740300
8/20/2021,2330,2340,2270,2300,2300,1530600
8/23/2021,2310,2450,2310,2430,2430,3770800
